bus_id,stop_id,stop_name,arrival_time,departure_time,traffic_delay,signal_delay,total_delay,previous_delay,passengers,dwell_time,congestion_level,traffic_factor,distance_to_next_stop,num_signals,bus_frequency_per_hour,headway,headway_change_rate,demand_level,bunching_label,passenger_load,bus_capacity,waiting_passengers,boarding_time,overcrowding_flag,passenger_wait_time
B1,S1,Shivajinagar,15.57,25.06,2.34,1.23,3.57,0.0,70,9.5,Low,1.0,2.0,1,7.0,10.0,0.0,High,0,19,60,33,1.65,False,8.3
B2,S1,Shivajinagar,22.26,24.77,1.0,1.26,2.26,0.0,15,2.51,Low,1.0,2.0,1,7.0,6.690000000000001,-3.3099999999999987,Low,1,51,60,33,1.65,False,6.645000000000001
B3,S1,Shivajinagar,32.96,40.46,3.8,1.17,4.96,0.0,53,7.5,Low,1.0,2.0,1,7.0,10.7,4.009999999999998,Medium,0,69,60,5,0.25,True,5.85
B4,S1,Shivajinagar,37.59,42.83,0.93,0.66,1.59,0.0,36,5.24,Low,1.0,2.0,1,7.0,4.630000000000003,-6.069999999999997,Medium,1,66,60,24,1.2000000000000002,True,4.715000000000002
B5,S1,Shivajinagar,47.0,55.85,2.35,0.65,3.0,0.0,68,8.85,Low,1.0,2.0,1,7.0,9.409999999999997,4.779999999999994,High,0,57,60,5,0.25,False,5.204999999999998
B6,S1,Shivajinagar,55.66,60.25,2.79,0.87,3.66,0.0,34,4.59,Low,1.0,2.0,1,7.0,8.659999999999997,-0.75,Medium,0,13,60,48,2.4000000000000004,False,9.13
B1,S1,Shivajinagar,148.39,157.83,6.93,1.46,8.39,0.0,72,9.45,High,3.0,2.0,1,7.0,92.73,84.07,High,0,47,60,6,0.3,False,46.965
B3,S1,Shivajinagar,163.71,173.58,6.6,1.11,7.71,0.0,76,9.87,High,3.0,2.0,1,7.0,15.320000000000022,-77.40999999999997,High,0,45,60,34,1.7000000000000002,False,11.060000000000011
B2,S1,Shivajinagar,166.18,175.58,17.39,0.79,18.18,0.0,67,9.4,High,3.0,2.0,1,7.0,2.469999999999999,-12.850000000000025,High,2,19,60,37,1.85,False,4.935
B5,S1,Shivajinagar,178.04,186.63,4.61,1.43,6.04,0.0,67,8.6,High,3.0,2.0,1,7.0,11.859999999999983,9.389999999999986,High,0,15,60,23,1.15,False,8.229999999999992
B4,S1,Shivajinagar,179.35,184.45,14.5,0.85,15.35,0.0,38,5.1,High,3.0,2.0,1,7.0,1.3100000000000025,-10.549999999999985,Medium,2,40,60,35,1.75,False,4.155000000000001
B6,S1,Shivajinagar,193.37,200.38,12.11,1.27,13.37,0.0,48,7.01,High,3.0,2.0,1,7.0,14.02000000000001,12.710000000000008,Medium,0,41,60,13,0.65,False,8.310000000000006
B1,S1,Shivajinagar,263.77,273.45,2.82,0.95,3.77,0.0,72,9.68,High,3.0,2.0,1,7.0,70.39999999999998,56.37999999999997,High,0,65,60,28,1.4,True,37.99999999999999
